OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,x,y
4,066c421f-db26-47f4-ac29-ccbb588db176,Boat,1/17/2022 6:58:23 AM,Casting,Bait,11:00,12:00,8,12,2,0,Herring,ActivityChange,,035663ac-c8fd-4561-8dd1-c62c49595699,1/17/2022 6:59:53 AM,Nicole.Hamre_UWA,1/17/2022 6:59:53 AM,Nicole.Hamre_UWA,,122.593151335405,-33.9334078762736
5,85e33d86-5fb0-4e33-b1c2-83c97e00c1ee,Boat,1/21/2022 2:19:15 AM,Casting,Bait,06:00,10:00,5,6,6,0,"Snook, skippers, herrings, yellow tails",LowCatch,,b9f42da0-84b4-43d9-a6dd-17ff1c50369e,1/21/2022 2:21:16 AM,Nicole.Hamre_UWA,1/21/2022 2:21:16 AM,Nicole.Hamre_UWA,,121.897042414606,-33.8622236713842
6,002a7396-a8cb-471f-8b2c-cc8da5f4e356,Boat,1/21/2022 2:47:48 AM,Casting,Bait,06:30,08:00,15,5,5,0,"King George whiting , herrings",Weather,,03f14681-fb36-453f-942f-4283516a6552,1/21/2022 2:49:24 AM,Nicole.Hamre_UWA,1/21/2022 2:49:24 AM,Nicole.Hamre_UWA,,121.915099287537,-33.8730594685367
7,002a7396-a8cb-471f-8b2c-cc8da5f4e356,Boat,1/21/2022 2:49:42 AM,Casting,Bait,08:30,10:30,2,0,6,0,Rock cod wrasse ,Weather,,abcbded5-6d85-44b0-b395-e3da8a1d2ad7,1/21/2022 2:50:31 AM,Nicole.Hamre_UWA,1/21/2022 2:50:31 AM,Nicole.Hamre_UWA,,121.908876513833,-33.8558097067878
8,8f465ef1-5a7f-45a3-b450-e1d1ec4f282b,Boat,1/21/2022 2:58:21 AM,Casting,Both,06:30,11:50,15,3,6,0,"Squid, flathead, whiting",Weather,,c87fc071-1096-4abb-b92c-a695af1f35c5,1/21/2022 2:58:57 AM,Nicole.Hamre_UWA,1/21/2022 2:58:57 AM,Nicole.Hamre_UWA,,121.908945439769,-33.8881236710603
9,00fe4bfa-98d7-4922-9759-94294db3fe39,Boat,1/21/2022 11:32:52 PM,Cray,Bait,06:30,07:20,18,0,0,0,,Other,Sea sick ,998f0bbf-2ef8-4ca6-b624-fd2ca6056fd9,1/21/2022 11:34:02 PM,Nicole.Hamre_UWA,1/21/2022 11:34:02 PM,Nicole.Hamre_UWA,,121.993608563296,-33.9207713363878
10,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,Boat,1/22/2022 3:25:23 AM,Demersal,Bait,06:00,10:00,40,7,15,0,"Sweep, queenies, nanniguie, estuary cod",Weather,,2cdeff18-5fa0-4b33-91b3-3c1c38f6fd32,1/22/2022 3:27:04 AM,Nicole.Hamre_UWA,1/22/2022 3:30:46 AM,Nicole.Hamre_UWA,,122.005736828439,-33.8736862561993
11,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,Boat,1/22/2022 3:29:28 AM,Trolling,Bait,10:00,12:20,40,0,0,0,0,Weather,,096078a0-83b6-4db6-b136-bccc6c6517fb,1/22/2022 3:30:03 AM,Nicole.Hamre_UWA,1/22/2022 3:30:03 AM,Nicole.Hamre_UWA,,121.957170114188,-33.8513768333025
12,c53dae6d-cfdf-4443-94c9-37e6eb756ae4,Boat,1/22/2022 3:56:11 AM,Demersal,Both,08:00,11:30,15,4,10,0,"Herring, wrasse, leather jacket",Weather,"Also trawling in same spot. Shallowest 8m, deepest 20m",46e1496c-3040-451d-93b3-00f375a41df4,1/22/2022 3:58:14 AM,Nicole.Hamre_UWA,1/22/2022 4:01:11 AM,Nicole.Hamre_UWA,,121.962209345826,-33.8535190393639
13,b48ced61-1739-4972-a576-3e9b066098c5,Boat,1/22/2022 4:48:15 AM,Trolling,Bait,05:00,08:00,80,13,30,0,"Nanniguie , break sea cod , queen snapper ",Explore,,76b3ecf8-ccc8-463f-baea-baf046dd2e11,1/22/2022 4:52:58 AM,Nicole.Hamre_UWA,1/22/2022 4:57:08 AM,Nicole.Hamre_UWA,,122.118591659255,-34.2853765193011
14,b48ced61-1739-4972-a576-3e9b066098c5,Boat,1/22/2022 4:53:22 AM,Trolling,Bait,08:00,11:30,30,4,10,0,Nanniguie ,EndOfDay,,fe8f2342-bc3d-4e3b-a11a-d82433c29e21,1/22/2022 4:54:03 AM,Nicole.Hamre_UWA,1/22/2022 4:58:02 AM,Nicole.Hamre_UWA,,121.960111731129,-34.0515122000308
15,f6656fa9-f674-4580-9235-bf5d949a9879,Boat,1/22/2022 5:00:26 AM,Casting,Bait,11:00,12:40,15,10,10,0,Herring,Weather,,643082ad-b860-4c09-8f47-5b0ce5410c44,1/22/2022 5:01:49 AM,Nicole.Hamre_UWA,1/22/2022 5:01:49 AM,Nicole.Hamre_UWA,,121.961331152804,-33.8560932120199
16,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:54:25 AM,Casting,Bait,04:45,06:00,55,0,1,0,,Weather,,d5c2d43f-4648-4d82-99b1-e96ca29e4500,1/22/2022 6:55:21 AM,Nicole.Hamre_UWA,1/22/2022 6:55:21 AM,Nicole.Hamre_UWA,,121.898905657049,-34.0312952946689
17,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:57:50 AM,Casting,Bait,06:30,11:00,50,0,0,0,0,Weather,,3d49d3d9-1298-46d4-af88-590f5ad01279,1/22/2022 6:58:31 AM,Nicole.Hamre_UWA,1/22/2022 6:58:31 AM,Nicole.Hamre_UWA,,122.024507848546,-33.9231781709875
18,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:13:18 AM,Demersal,Both,04:30,09:00,45,9,6,0,Naniigue,LowCatch,,36354998-1920-4cf5-b158-7434a3b4e7b2,1/23/2022 2:15:30 AM,Nicole.Hamre_UWA,1/23/2022 2:15:30 AM,Nicole.Hamre_UWA,,122.238631482513,-34.0352034027057
19,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:16:09 AM,Trolling,Both,09:00,10:00,30,0,0,0,,Weather,,cf0b9554-6d89-4188-8b6d-2648be9af20f,1/23/2022 2:16:48 AM,Nicole.Hamre_UWA,1/23/2022 2:16:48 AM,Nicole.Hamre_UWA,,122.244896247965,-34.0297296172338
