"exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments","GlobalID","created_date","created_user","last_edited_date","last_edited_user","Did anything detract from your experience at this site?","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?","x","y"
"066C421F-DB26-47F4-AC29-CCBB588DB176","Boat","17/1/22","Casting","Bait","11:00","12:00",8,12,2,0,"Herring","ActivityChange",NA,"035663AC-C8FD-4561-8DD1-C62C49595699","17/1/22","Nicole.Hamre_UWA","17/1/22","Nicole.Hamre_UWA",NA,NA,122.5931513,-33.93340788
"85E33D86-5FB0-4E33-B1C2-83C97E00C1EE","Boat","21/1/22","Casting","Bait","6:00","10:00",5,6,6,0,"Snook, skippers, herrings, yellow tails","LowCatch",NA,"B9F42DA0-84B4-43D9-A6DD-17FF1C50369E","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.8970424,-33.86222367
"002A7396-A8CB-471F-8B2C-CC8DA5F4E356","Boat","21/1/22","Casting","Bait","6:30","8:00",15,5,5,0,"King George whiting , herrings","Weather",NA,"03F14681-FB36-453F-942F-4283516A6552","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9150993,-33.87305947
"002A7396-A8CB-471F-8B2C-CC8DA5F4E356","Boat","21/1/22","Casting","Bait","8:30","10:30",2,0,6,0,"Rock cod wrasse","Weather",NA,"ABCBDED5-6D85-44B0-B395-E3DA8A1D2AD7","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9088765,-33.85580971
"8F465EF1-5A7F-45A3-B450-E1D1EC4F282B","Boat","21/1/22","Casting","Both","6:30","11:50",15,3,6,0,"Squid, flathead, whiting","Weather",NA,"C87FC071-1096-4ABB-B92C-A695AF1F35C5","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9089454,-33.88812367
"00FE4BFA-98D7-4922-9759-94294DB3FE39","Boat","21/1/22","Cray","Bait","6:30","7:20",18,0,0,0,NA,"Other","Sea sick","998F0BBF-2EF8-4CA6-B624-FD2CA6056FD9","21/1/22","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA",NA,NA,121.9936086,-33.92077134
"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","Boat","22/1/22","Demersal","Bait","6:00","10:00",40,7,15,0,"Sweep, queenies, nanniguie, estuary cod","Weather",NA,"2CDEFF18-5FA0-4B33-91B3-3C1C38F6FD32","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,122.0057368,-33.87368626
"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8","Boat","22/1/22","Trolling","Bait","10:00","12:20",40,0,0,0,"0","Weather",NA,"096078A0-83B6-4DB6-B136-BCCC6C6517FB","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9571701,-33.85137683
"C53DAE6D-CFDF-4443-94C9-37E6EB756AE4","Boat","22/1/22","Demersal","Both","8:00","11:30",15,4,10,0,"Herring, wrasse, leather jacket","Weather","Also trawling in same spot. Shallowest 8m, deepest 20m","46E1496C-3040-451D-93B3-00F375A41DF4","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,121.9622093,-33.85351904
"B48CED61-1739-4972-A576-3E9B066098C5","Boat","22/1/22","Trolling","Bait","5:00","8:00",80,13,30,0,"Nanniguie , break sea cod , queen snapper","Explore",NA,"76B3ECF8-CCC8-463F-BAEA-BAF046DD2E11","22/1/22","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA",NA,NA,122.1185917,-34.28537652
