"GlobalID","GUID for meta","# Interviewer","# Site","Screen: 18+","Screen: Have you done this survey recently?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_user","created_date","last_edited_user","last_edited_date","Are you of Aboriginal or Torres Strait Islander origin?","Are you a Traditional Owner of the region?","x","y"
"DC0117F3-D0A8-413F-8148-981062E475A9",NA,"EH","EsperanceBR","Yes","No","Yes","Yes",NA,"No",NA,NA,"0","Nicole.Hamre_UWA","17/1/22","Nicole.Hamre_UWA","17/1/22",NA,NA,121.8947533,-33.86597167
"066C421F-DB26-47F4-AC29-CCBB588DB176",NA,"EH","Wharton","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","17/1/22","Nicole.Hamre_UWA","17/1/22",NA,NA,122.5894283,-33.93538833
"85E33D86-5FB0-4E33-B1C2-83C97E00C1EE",NA,"EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA","21/1/22",NA,NA,121.8945805,-33.8654804
"002A7396-A8CB-471F-8B2C-CC8DA5F4E356",NA,"EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA","21/1/22",NA,NA,121.8938233,-33.86428444
"8F465EF1-5A7F-45A3-B450-E1D1EC4F282B",NA,"EH","EsperanceBR","Yes","No","Yes","No","8","Yes","2","8","1","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA","21/1/22",NA,NA,121.8941883,-33.86513137
"00FE4BFA-98D7-4922-9759-94294DB3FE39",NA,"EH","BandyCreekBR","Yes","Yes","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","21/1/22","Nicole.Hamre_UWA","21/1/22",NA,NA,121.9309441,-33.83263954
"EFA5FDC5-DFC5-40FE-96A7-2252E89B45F8",NA,"EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA","22/1/22",NA,NA,121.9324183,-33.83146667
"C53DAE6D-CFDF-4443-94C9-37E6EB756AE4",NA,"EH","BandyCreekBR","Yes","Yes","Yes","No","7","Yes","2","7","0","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA","22/1/22",NA,NA,121.9322633,-33.83142667
"B48CED61-1739-4972-A576-3E9B066098C5",NA,"EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA","22/1/22",NA,NA,121.9322533,-33.831415
"F6656FA9-F674-4580-9235-BF5D949A9879",NA,"EH","BandyCreekBR","Yes","No","Yes","No","4","Yes","1","4","3","Nicole.Hamre_UWA","22/1/22","Nicole.Hamre_UWA","22/1/22",NA,NA,121.9321817,-33.83140167
